Metric,Correlation,P-value
cSIL,-0.3095422431759275,0.2615639433600209
GD43,0.06319788094466991,0.8229499292257899
GD53,-0.07286098736557828,0.796367983295315
PS,-0.19805644224386745,0.4792055512763447
rCIP,0.14405304577944364,0.6085120335084252
WB,0.24850899571770374,0.3718031938031312
XB,0.2491149816005959,0.3705998715004877
SSE,0.2767992696664716,0.31792607618219537
RS,-0.17401560477247177,0.5350916553301684
DH,0.11621566151374682,0.6800055017784367
B,0.2484794521049728,0.3718619137201989
BH,0.23434567276618312,0.4005286006163779
D,0.14398309462345263,0.6086879469965253
H,0.24557956591261593,0.37765018786770704
DBCV,0.7415735343870897,0.0015538479025751525
I,0.19812558445857628,0.4790489867795815
C,0.432569629333321,0.107307148661122
VIASCKDE,0.30345343267820524,0.271551536532587
COP,0.2850658201309031,0.303083255059944
Sym,0.29450410975595004,0.28664152705689205
CS,0.26996631665028586,0.3305045918531174
SF,0.030432840930046775,0.9142619742703658
SD,0.14096894399470153,0.6162867479385494
SDbw,0.2631865662391123,0.3432602589845189
XB*,0.24896722022236348,0.37089308905567236
S,-0.20412874687273186,0.4655497228566588
DB,0.27185167956279843,0.32700601111019373
CH,-0.16862316174183567,0.5480095914955124
AD-S,0.7156867352252855,0.0026972552745628147
AD-DB,-0.7282886476068932,0.0020776678797173906
AD-CH,0.31310680124439344,0.2558219840866129
AD-idea,0.38866820124847545,0.15221882989624247
