Metric,Correlation,P-value
cSIL,0.2619898607578611,0.18679473126278226
GD43,0.3542530147638881,0.06983813840502293
GD53,0.006538384523790024,0.9741793263985988
PS,0.11640438826734585,0.563125450835077
rCIP,-0.44539195503545687,0.019902435835614875
WB,-0.3239137218412792,0.09930235128829616
XB,-0.4621548209275692,0.015224322596277767
SSE,-0.13175365550726234,0.5124147747041314
RS,0.2254160975408088,0.25826648043497935
DH,-0.2688583251041975,0.17508417896916534
B,-0.2602540075495287,0.18983824532380855
BH,-0.14670507694162735,0.46527046028658403
D,0.2744740738256215,0.16589922874344556
H,-0.3618006854556618,0.06368172138977288
DBCV,0.6114229974001548,0.0007030868857065022
I,0.3293859357050223,0.09339733494329008
C,-0.40338043563812687,0.03693917385530902
CDbw,-0.1700753977715243,0.39636862385934685
VIASCKDE,0.22772969468405022,0.2532816203354795
COP,0.11166006247582097,0.5792454950171368
Sym,0.24899055126509323,0.2104205413453018
CS,-0.25730472158312656,0.19508757642601007
SF,0.40852738376700015,0.034376114518475435
SD,-0.3782386964399037,0.051732498736392185
SDbw,-0.31788225367781625,0.10612989563067031
XB*,-0.22778478388931514,0.253163697530386
S,0.5930547149174377,0.0011133523515400561
DB,-0.4693999108576781,0.013505089121838537
CH,0.42583652879625844,0.02678361980232183
AD-S,0.6538048085452424,0.00021689458915772093
AD-DB,-0.47490227020099013,0.012309692976964444
AD-CH,0.21002307090642247,0.29304884077405086
AD-idea,-0.022210323493833565,0.9124406720406262
