Metric,Correlation,P-value
cSIL,-0.27510030968357985,0.32102751748763886
GD43,-0.12072117003644954,0.6682417147872408
GD53,0.29506944889008946,0.2856738509926557
PS,0.561890733519768,0.029262277901904356
rCIP,0.00526629497180843,0.9851388917058772
WB,0.16529444205402072,0.5560506766894747
XB,0.2006079970102709,0.4734441603924947
SSE,0.274441812368316,0.32223425371599523
RS,-0.32171249322176304,0.24227946510282725
DH,0.3295367310477546,0.23035926487856018
B,0.1652525873884317,0.5561521048048772
BH,0.24337438121864546,0.3820842601218492
D,0.06733639450906269,0.8115418529323686
H,0.19112859058715567,0.4950164022113612
DBCV,0.03429775091901054,0.9034176844651078
I,0.15681915911969305,0.5767489577259413
C,0.1859619494046858,0.5069648874723959
VIASCKDE,0.1099927510788284,0.6963661707469511
COP,0.15935942608240686,0.5705117403275526
Sym,-0.17173923008578512,0.540528348761111
CS,0.16993828765956212,0.5448466795203525
SF,-0.0700834234687361,0.8039887327870975
SD,0.19888389454680744,0.4773334944234445
SDbw,0.35590761315944575,0.19292519544514608
XB*,0.19975067508682273,0.4753762405644644
S,-0.13120723725408476,0.6411424416074389
DB,0.25140504542525877,0.36607166912756567
CH,0.15347287698238754,0.5850080221117526
AD-S,0.31815220628334057,0.24782730624929256
AD-DB,-0.24239386365722157,0.3840648057595845
AD-CH,0.30950129403620197,0.26163035707988314
AD-idea,0.018408708991906584,0.9480815578352886
