,ecoli,glass,ionosphere,sonar,statlog,wdbc,wine,yeast
cSIL,-0.46049476992725674,-0.4253398426719114,0.2228972991639241,-0.5120300988988982,-0.1117914683166283,-0.34781434105393566,-0.4190899376284223,-0.81374306119725
GD43,-0.39617600202771686,-0.3900803404927333,0.03946729508549649,-0.3434844740971263,0.40873485626278233,0.07114080824964163,-0.19621982788898956,-0.8029097782386265
GD53,-0.1862644883398547,0.07019482846897752,-0.2542960460088521,0.33274455898785454,0.3794814105063355,0.3415829478070055,-0.3421816065949081,-0.10922925224069668
PS,-0.30150302211815866,-0.11293032469413011,-0.019380717936530775,0.5410366149891368,0.1507924334627178,0.5966415095627888,0.6466117405286721,-0.087137956959522
rCIP,-0.6371882809425403,-0.6839166117762506,-0.5832279512337436,-0.22514986191127948,-0.5230783111666045,-0.18609631408553487,-0.5897329767551567,-0.7924921353725884
WB,0.07622217048537876,0.4333344797527699,0.5771112439977139,0.5462644121269643,0.6501519465622028,0.7991838007942227,0.6170185581639088,0.7325320443599557
XB,-0.11082232103532316,-0.33735385376519583,0.1204437087858909,-0.3568011633982221,0.2853160376686703,0.045440272744730406,-0.31504339179574986,-0.5583127625619858
SSE,0.31747670714563936,0.46010310995882714,0.7839113723394172,0.2913952260367589,0.7963225846906823,0.3863592700252501,0.4127183323363817,0.5768099977674868
RS,-0.5981540581218974,-0.30200400265746224,0.05746573610372972,-0.14142823937351254,-0.10717172142349932,0.14592153774770353,-0.562996219336621,-0.7278413871422239
DH,0.029887633754644146,-0.4050594842313018,0.19120696213980695,-0.5753641980854921,-0.2507636110822411,-0.45194513977341466,-0.2639033780059145,-0.6573586408749621
B,0.46126859906924034,0.07664331086530862,0.2933038980855176,-0.5777885666053183,0.5166660560008628,-0.600854018991726,-0.17053379422174275,-0.3542455768735396
BH,0.7503566358263415,0.6281906049344286,0.6874162551887073,-0.04684752637387774,0.6808007265030367,0.1302873924324523,0.5660954289981929,0.568616662368544
D,0.611894979487583,-0.42469413988644744,-0.5537541093109701,-0.3854410178762518,0.12676387052424173,-0.17556959368835826,-0.3383096718763991,-0.066460766373709
H,-0.6124685426184933,-0.5530330254284931,-0.0962682313498662,-0.2295088129388813,-0.514350316634258,-0.16686390155023434,-0.5510279884016599,-0.8423354346649571
DBCV,-0.5850490577993952,-0.34452996766313143,0.05238776997617087,-0.48515797841852554,0.061343353736959635,-0.5521252141097052,-0.14718985391660627,-0.6616904429202661
I,-0.2818721655742543,-0.21400029123020944,0.07210280051756889,-0.16512001231040835,0.11952016124049278,-0.13705243386070762,-0.3155357333262737,0.1535176505332698
C,-0.01916744129977442,-0.04491305325373708,0.5221322608649717,-0.49805891678523906,0.5027346769829636,-0.04632675591262619,0.58252197604105,-0.2085309442772991
VIASCKDE,-0.44872109192965015,-0.3383486257471572,0.6056784197845636,-0.4567561995883827,0.302648990454094,-0.004660414893642001,-0.25272502297593563,-0.6698524455044637
COP,0.12237235105743817,0.2643430229036392,0.431715408711336,0.5693105738771842,0.48033625706308036,0.4640166546920859,-0.08160258479727686,0.003484988221893027
Sym,-0.19025555575281697,0.12262004882732894,0.21910052017194556,-0.20724160934677016,0.5751192844247803,0.07033656508647834,-0.08858501813910613,-0.09674876103593989
CS,-0.3838161429274872,-0.43907986576526825,0.07180642570761071,-0.5533440546941498,-0.45106560348149294,-0.3602453983926574,-0.4766764148531903,-0.7927421680378539
SF,-0.6640053001265952,-0.39780834097948387,0.022607370037573595,0.05240999288241834,-0.435135375747156,0.19235830301730955,-0.5429660801403239,-0.7701681604041741
SD,-0.1537493025395066,-0.14103223390765426,0.3538514298826262,-0.5277870494812733,0.2718149612968682,-0.13852848173785456,-0.13600096328453626,-0.08800187441434039
SDbw,0.04335422672678555,-0.45794254480478463,0.2297392174152897,-1.0,0.20631529544700575,-0.012861459248068226,-0.10906049298738144,0.1696103823508939
XB*,-0.4336901874929416,-0.4862490845803028,-0.03457961623462085,-0.3202738183933068,0.08871576127278759,-0.11117673782623626,-0.3869479556235283,-0.7877811448792182
S,-0.28674974725086627,-0.23454382887413724,0.34300109785703814,-0.28226122259078645,0.3921966169470361,-0.21544104304690445,0.09535538312610556,-0.6286742864785823
DB,-0.46003100139644604,-0.4252129087684151,0.07181396066040624,-0.5309262087491778,-0.0724480461338473,-0.3182773627308537,-0.4622220691344173,-0.7767700591720149
CH,0.044822660654780445,0.3126901381703373,0.5600730412930269,0.5915886318940468,0.5089637812013913,0.7556350481583398,0.33334894200341014,0.7826133466186691
AD-S,-0.6597444170263449,-0.4296733934146889,-0.07299031161648717,-0.6781779174668052,-0.19651333556398334,-0.39587966312231865,-0.6431235376522425,-0.7995476832132573
AD-DB,-0.5844583402175474,-0.4146417479543956,-0.06909109969549428,-0.5528569471050395,-0.397058836889445,-0.332641594206794,-0.6769043825963039,-0.8487457836115175
AD-CH,-0.21332310066020047,0.15554401663251274,0.17494234792212957,0.4875397056769604,0.11117244695623311,0.7785746692186599,-0.13764593815564602,0.5812905979348288
AD-idea,-0.3376695405762291,-0.047336939093258944,0.37575151185360595,-0.4347741914292677,0.3629251119595734,0.29252674456003447,-0.055900205264050803,-0.17569134680131715
